hey	Hi!
hello	Nama kebuah nuan ngiga aku?
hi	Hello!
hai hai	Hello wai!
selamat pagi	Nuan bisi utai ka ditusi?
selamat lemai	Yoohoo!
oi	Oh hi!
hi nuan	Hye!
hi, aram berandau	Nama randau tua?
hai uchak	Hai!
hello bot	Heyoo!
hello nuan	Ui!
selamat siang	Hmm , nama utai ka dikejakuka nuan?
hi	Eh! Nuan pia!
helloo	Nama nyadika buah randau tua?
siang	Randau nama patut dikejaku tua?
hi bot!	Hai! Aram berandau!
yohoo!	Oh, hai kaban!
hello bot	Nama utai ba runding nuan?
hi chatbot	Helo!
hi kaban	Nadai utai dirunding nuan dia?
wei nuan	Eheii!
ui	Nama ga nuan ngiga aku wai?
yo	Nama ga nuan ngiga aku kaban?
nama pengawa nuan?	Weii!
ulih nuan nerangka pasal sistem sepil jaku iban?	antara bengkah ti bisi dalam sistem sepil jaku iban iya nya urat jaku.
ulih nuan madahka pasal sepil jaku iban?	jaku iban nguna dua puluh enam urup roman.
ulih nuan madahka aku pasal sistem sepil jaku iban?	sepil jaku iban bisi tebagi ngagai sekeda bengkah atur.
ulih nuan madah ni bagi atur sepil jaku iban?	antara atur sepil jaku iban iya atur nulis urat jaku, atur nulis penambah, homograf enggau homonim.
ajar aku pasal sistem sepil jaku iban.	bahasa iban ngena dua puluh enam urup roman baka bahasa melayu.
padahka pasal sistem sepil jaku iban.	homograf nya antara sistem sepil jaku iban.
baka ni sistem sepil jaku iban?	siti ari sistem sepil jaku iban iya nya homonim.
nama jaku iban bisi sebaka enggau bahasa melayu?	bisi, bahasa iban ngena dua puluh enam urup roman baka bahasa melayu.
kati bahasa melayu sebaka enggau bahasa iban?	bahasa melayu enggau bahasa iban bela nguna dua puluh enam urup roman.	
nama bengkah sistem sepil ti bisi dalam jaku iban?	antara bengkah sistem sepil jaku iban iya nya atur nulis urat jaku, penambah, homograf enggau homonim.
padahka bengkah sistem sepil jaku iban.	bengkah sistem sepil jaku iban iya nya atur nulis urat jaku, homograf, homonim enggau atur nulis penambah.
sistem sepil jaku iban bisi tebagi ngagai bengkah nama?	sistem sepil jaku iban bisi nyengkaum homograf, atur nulis urat jaku, homonim enggau atur nulis penambah.
nama bagi sistem sepil bisi dalam jaku iban?	sistem sepil ti udah ditemu aku iya nya raban jaku nama, jaku pengawa enggau jaku adjektif.
sistem sepil jaku iban bisi berapa bengkah?	antara sistem sepil ke bukai iya nya raban jaku nama enggau jaku adjektif.
nama sistem sepil jaku iban ke bukai?	sistem sepil ke bukai ti bisi iya nya jaku adjektif, jaku pengawa enggau jaku nama.
baka ni gaya sistem sepil jaku ke bukai?	jaku adjektif, jaku pengawa enggau jaku nama.
nama bengkah jaku iban?	sistem sepil ke bukai ti ditemu aku iya nya jaku pengawa, jaku adjektif enggau jaku nama.
aku ka nnya, kati bisi sistem sepil ke bukai?	sistem sepil ti ditemu aku nyengkaum jaku adjektif, jaku pengawa enggau jaku nama.
kelimpah ari nya?	bengkah atur ti bisi dalam sepil jaku iban iya nya atur nulis urat jaku, atur nulis penambah, homograf enggau homonim.
kati bisi sistem sepil ke bukai?	atur nulis urat jaku, atur nulis penambah, homograf enggau homonim.
ulih nuan madahka pasal atur nulis urat jaku lebih dalam agi ?	urat jaku nya seleka jaku ditulis serara ari jaku bukai lalu nadai diberi penambah.
baka ni atur ngena urat jaku?	semua urat jaku patut ditulis serara lebuh ditulis dalam ayat.
baka ni chara ngena atur urat jaku?	urat jaku ditulis bediri kediri ari jaku bukai ba ayat.
ajar aku pasal atur nulis urat jaku.	atur urat jaku patut ditulis serara ari jaku bukai lebuh dikena ba dalam rambai jaku.
nama atur ngena urat jaku ti bendar?	urat jaku tu ditulis kediri, enda begulai enggau jaku bukai.
nama chunto urat jaku?	chunto urat jaku iya nya -surat kabar lama-.
bisi chunto bagi urat jaku?	-surat kabar lama-
nama chunto urat bagi jaku?	antara chunto urat jaku iya nya - surat kabar lama.-
beri siti chunto urat jaku.	-rumah batu tiga tingkat-
chunto bagi urat jaku?	chunto urat jaku iya nya -rumah batu tiga tingkat-.
nama chunto bukai urat jaku?	chunto bukai urat jaku iya nya -selipar putus tali-.
bisi chunto bukai bagi urat jaku?	chunto ti bukai iya nya -pansuh tiga ruas-.
nama chunto bukai urat bagi jaku?	-selipar putus tali-.
beri siti chunto bukai urat jaku.	-pansuh tiga ruas-.
chunto bukai bagi urat jaku?	-kerita pancit tayar- nya chunto urat jaku ti bukai.
baka ni jalai nulis urat jaku ba ayat?	chunto urat jaku ba ayat iya nya -igat bisi dua pasang kasut baru-.
nama chunto rambai jaku ti ngena urat jaku?	-indai meli dua buah lemari baru.-
chunto ayat ti ngena urat jaku?	chunto ayat ti ngena urat jaku iya nya - Indai bisi meli dua buah lemari baru-.
beri chunto ayat ngena urat jaku.	-ali ngena selipar putus tali-.
chunto ayat?	chunto rambai jaku iya nya - ali ngena selipar putus tali-.
bisi chunto ayat ngena urat jaku ke bukai?	chunto ayat ngena urat jaku ke bukai iya nya -Ali tinggi agi ari Abu-.
bisi chunto urat jaku ke bukai?	-Ali tinggi agi ari Abu-
ulih nuan meri aku chunto kedua rambai jaku ti nguna atur urat jaku?	chunto bukai ayat ti ngena urat jaku iya nya - lemari dua tingkat nya dibeli apai kemari-.
chunto urat jaku ti bukai?	-lemari dua tingkat nya dibeli apai kemari-.
padah chunto urat jaku ke bukai?	chunto rambai jaku ti bukai iya nya -sintin rindu bendar begaya ngena buk tanchang dua-.
ulih nuan madahka aku pasal atur nulis penambah?	semua penambah ditulis besambung enggau leka jaku ti ditambah iya.
ulih nuan nerangka pasal atur ngena nulis jaku penambah lebih dalam agi?	tanda sekang enda tau dikena antara jaku penambah enggau urat jaku.
